num_tubes,num_colors,seed,algoritmo,nodos_expandidos,nodos_en_memoria_max,tiempo_seg,tiempo_total,profundidad_solucion,solved,error
6,3,4,BFS,143,143,0.05401325225830078,0.05405163764953613,9,True,
6,3,4,DFS,13,30,0.004281759262084961,0.004292964935302734,12,True,
6,3,4,A*_h1,10,22,0.013309001922607422,0.013319730758666992,9,True,
6,3,4,A*_h2,13,30,0.0053577423095703125,0.0053691864013671875,9,True,
6,3,4,A*_h3,15,32,0.006631374359130859,0.006643772125244141,9,True,
6,3,5,BFS,481,484,0.19402360916137695,0.19417095184326172,9,True,
6,3,5,DFS,16,45,0.005267143249511719,0.005281925201416016,15,True,
6,3,5,A*_h1,13,35,0.01748514175415039,0.01750040054321289,10,True,
6,3,5,A*_h2,14,39,0.005739450454711914,0.005753040313720703,9,True,
6,3,5,A*_h3,22,56,0.010187149047851562,0.010206937789916992,11,True,
6,3,6,BFS,172,172,0.06452417373657227,0.06457042694091797,7,True,
